#{"t_start": 1591393951.959701, "env_id": null}
r,l,t
-50780.126058,2387,3.097055
-18898.004358,2135,5.187882
-48449.081834,2046,7.212678
-58279.688577,2377,9.492391
-637.218173,355,9.84866
-9887.15587,1556,11.358232
-13837.061236,2195,13.491762
-11526.507973,1685,15.138173
-57730.590921,1701,16.771063
-73144.923046,2490,19.180157
-2355.766877,445,19.641904
-62.689172,83,19.707971
-43708.276821,1605,21.305238
-32157.171157,1892,23.153149
-27142.620857,1591,24.722548
-18464.656597,1605,26.300439
-9689.740001,1559,27.850812
-6936.00109,1158,29.003278
-34420.948111,1782,30.884036
-87798.149019,4872,36.640052
-34270.445057,1265,38.061849
-48401.58797,1564,39.736663
-35315.587364,1296,41.126179
-28082.790413,1296,42.520111
-44156.965645,1270,43.949699
-50053.503412,2174,46.284848
-144230.097531,2339,48.856536
-14734.476174,2046,51.106741
-578.447292,238,51.339296
-131601.057945,2574,54.237673
-66.305497,153,54.402566
-48796.782215,1429,55.963685
-11214.571951,1400,57.408981
-40840.434401,1417,58.907107
-53935.861033,1635,60.604263
-27743.539709,1389,62.009061
0.998,1,62.021169
-28627.370799,1199,63.282803
-27678.89145,1188,64.534834
-2815.09064,1080,65.67006
-10049.114086,1426,67.170708
-13695.548368,1368,68.605469
-27413.30307,1108,69.765987
-7410.174768,1352,71.227361
-13596.397097,1287,72.571774
-21634.805421,932,73.524383
-4395.350617,240,73.819402
-2438.605721,299,74.153893
-23422.260657,1087,75.330606
-42265.144488,1256,76.721677
-830.536766,372,77.116823
-19624.832911,978,78.229528
-907.478923,433,78.712848
-9948.692383,1236,80.151061
-7258.525897,852,81.159478
-7747.740723,1028,82.379593
-29396.119562,975,83.500444
-5874.44505,917,84.608649
-26260.481868,799,85.54313
-17791.224352,948,86.663353
-8110.041222,731,87.576428
-14534.789508,714,88.401004
-5378.442409,751,89.303739
-16261.515669,1032,90.510709
-1276.917416,231,90.796321
-26369.761441,932,91.872853
-3232.036699,998,93.040782
-38196.446054,1144,94.446111
-10329.716626,752,95.406955
-13266.391032,2010,97.856728
-24995.349252,1089,99.215475
-144.529655,277,99.562464
-7279.58143,906,100.677088
-5429.727652,1567,102.571534
-23258.06227,976,103.734654
-4080.127903,911,104.917338
-3945.465776,887,105.955715
-2021.718307,891,107.036707
-9705.42923,1954,109.403483
-4097.914898,931,110.577066
-54.990518,146,110.736464
-38545.246144,1359,112.391557
-22797.80444,1039,113.649392
-8066.610362,1075,114.948525
-28971.039578,1259,116.507082
-1112.659473,173,116.732002
-42426.784117,1170,118.197013
-20840.095669,1000,119.386087
-151.897142,200,119.650645
-21847.32427,1366,121.362206
-32331.926304,1753,123.472395
-17682.626142,1095,124.809238
-11138.249816,961,125.974938
-16486.610316,2822,129.409639
-38.407212,76,129.54724
-15964.486981,1029,130.787858
-16218.105265,1434,132.52714
-12098.177497,1071,133.86472
-36949.411911,936,135.013529
-57910.690651,2237,137.700222
-20763.278377,1912,140.000933
-11037.141821,1153,141.403819
-35872.255836,868,142.538418
-68313.516554,2357,145.406308
-9261.049699,913,146.523618
-1494.478604,254,146.830409
-2433.949056,396,147.296489
-12751.862577,952,148.452524
-26747.954099,1048,149.705738
-68138.638894,1665,151.715471
-36356.638283,1604,153.648991
-34948.458838,1247,155.175208
-41061.11186,1294,156.726095
-44400.474228,1451,158.482718
-55656.917663,1851,160.78447
-69019.924401,2125,163.288205
-36197.543084,1399,164.991843
-122.265068,168,165.188851
-22187.215996,1791,167.378614
-67002.767669,1690,169.460022
-49732.506974,2768,172.764704
-47239.597504,1465,174.581795
-36720.148778,2149,177.121506
-1470.938599,319,177.521393
-31145.341262,1403,179.212326
-31962.18816,1753,181.326304
-17944.162092,866,182.341768
-24977.117195,3151,186.236763
-60179.56935,2507,189.244354
-28104.398855,3218,193.123046
-22796.292378,3075,196.841589
-61572.660028,2796,200.219902
-45676.852718,2808,203.681698
-135552.943819,4098,208.743241
-123791.352921,2611,211.979526
-124861.762875,4551,217.633325
-33866.319912,1921,220.103489
-16671.193742,961,221.369586
-24553.323421,1079,222.685804
-22298.715009,886,223.803865
-609.545844,632,224.583652
-12466.701378,778,225.558563
-12960.405792,673,226.459367
-17294.113234,704,227.301677
-15171.917797,766,228.288197
-11544.235001,1115,229.70141
-58848.337562,1233,231.202696
-25403.781747,960,232.391762
-73041.015613,1170,233.85589
-33281.279918,1509,235.74343
-28515.254892,1133,237.167789
-81191.288494,1620,239.142411
-3738.729034,711,240.03947
-27905.494934,874,241.111265
-49708.724436,768,242.13741
-14777.861775,823,243.169896
-6496.572891,735,244.093591
-15202.930534,705,244.950191
-40095.071854,820,245.999801
-29268.653561,865,247.069768
-16152.048395,624,247.829305
-13366.586983,715,248.714651
-38848.399445,881,249.828909
-596.630821,96,249.976867
-442.703362,209,250.197815
-36326.882257,722,251.101242
-11644.659962,646,251.925637
-19412.860832,578,252.647609
-10348.600427,758,253.559122
-6765.089353,661,254.426268
-4599.670147,703,255.24998
-16309.70582,1471,257.133241
-6356.296613,693,257.969803
-22184.15814,945,259.193051
-22056.491254,585,259.968399
-21164.500359,622,260.790938
-21403.457285,708,261.67196
-26024.469474,588,262.450633
-8420.572868,652,263.297607
-23870.121944,599,264.053495
-16236.197907,748,265.023252
-11567.617363,586,265.755234
-23944.228239,824,266.83874
-25115.275384,995,268.108365
-1350.643599,695,269.032646
-1759.902456,609,269.82028
-6374.018195,569,270.535849
-3285.771028,585,271.359098
-5472.763423,572,272.074711
-15702.002249,659,272.891954
-20301.159738,643,273.778536
-1629.528684,768,274.778107
-890.380733,356,275.230079
-3161.844067,654,276.154734
-4639.260822,583,276.933628
-255.559074,134,277.090352
-5293.099889,1276,278.749103
-7510.790814,755,279.713688
-360.886611,194,279.960396
-9114.661855,702,280.891727
-620.580251,255,281.225509
-557.972875,142,281.390417
-14326.199106,632,282.220512
-239.677369,345,282.636575
-11395.686472,663,283.479782
-23297.266836,980,284.737322
-20136.860714,619,285.558644
-6522.379213,635,286.392022
-405.613024,149,286.58992
-10026.913451,690,287.451882
-8925.54827,665,288.345572
-11330.995575,592,289.086768
-37650.291043,772,290.071288
-4771.939938,584,290.827879
-27878.650371,769,291.84597
-2391.688105,649,292.65414
-2793.501061,689,293.552104
-34980.174562,817,294.635153
-9627.888871,634,295.480241
-4023.82454,1146,296.934945
-104.952749,108,297.10222
-27906.119722,690,297.946202
-6657.876077,637,298.795908
-2713.887433,1130,300.315894
-1740.852197,603,301.094699
-1070.948384,419,301.678333
-14605.830917,814,302.770099
-179.51426,85,302.885154
-12806.870082,798,303.947428
-1600.076064,572,304.733998
-28469.62982,622,305.568989
-8670.062112,586,306.414407
-2243.753594,534,307.115231
-17125.051746,623,307.947071
-5351.866249,584,308.720915
-629.009922,541,309.481166
-19357.507449,699,310.413446
-18341.529652,657,311.276814
-16094.184348,768,312.330557
-11634.947213,665,313.300672
-10320.859306,827,314.40642
-21958.210017,760,315.44919
-12071.567494,566,316.184364
-4490.350748,579,316.965372
-10883.192151,672,317.864542
-247.084693,335,318.323939
-134.72267,291,318.699131
-17601.752252,699,319.638424
-17210.184889,730,320.615716
-3174.977881,745,321.627497
-32361.759572,1045,323.010654
-18448.868501,924,324.236118
-380.653192,338,324.713409
-8607.320921,562,325.466241
-56.541061,130,325.640354
-6364.243321,943,326.966947
-6014.898197,1852,329.410219
-2315.798582,687,330.36198
-32993.942018,884,331.511321
-19269.80195,834,332.641609
-8758.841935,786,333.741305
-47370.343872,1096,335.199035
-5117.188684,540,335.909174
-5499.413965,536,336.624191
-36455.473614,1103,338.076152
-1507.234806,637,338.931833
-18278.214205,716,339.838031
-61500.70085,1877,342.399845
-29260.4953,1197,343.965115
-1156.915164,540,344.717593
-35806.095872,1218,346.30323
-18244.502768,1209,347.882608
-33535.574242,2115,350.66112
-3151.105711,949,351.892904
-39591.983089,2184,354.747315
-26638.905455,2130,357.531227
-430.904305,175,357.764423
-103335.566662,2973,361.634362
-12218.735028,1718,363.883199
-62306.549564,2540,367.248203
-4757.554031,1240,368.834895
-1980.350777,732,369.720408
-31103.623658,2186,372.483532
-30229.722728,2072,375.113761
-20099.757959,2315,378.015886
-37871.204136,3413,382.292948
-763.489447,190,382.57527
-81541.322817,5001,388.932488
-68270.583417,5001,395.227656
-176310.11177,5001,401.592071
-48943.663391,4191,406.859731
-5468.633191,521,407.523388
-111098.190057,5001,413.772163
-2975.648439,1277,415.402457
-68959.810513,2595,418.63149
