#{"t_start": 1591458561.713956, "env_id": null}
r,l,t
-219576.817493,6637,8.153408
-17916.206298,2535,10.818119
-7265.694284,1940,12.776938
-55874.820387,2702,15.56218
-30267.653539,2064,17.6802
-61797.722726,1096,18.783614
-64213.134575,865,19.685836
-31314.343946,1821,21.59094
-39218.179508,1225,22.858411
-31106.865015,1715,24.580427
-70940.496695,1388,26.051324
-29300.103132,1664,27.732665
-39297.619099,1601,29.374155
-30457.871301,1433,30.88872
-13256.450053,1196,32.130206
-68036.330615,1471,33.608688
-25824.31156,2320,36.067814
-138495.91411,1839,37.995996
-196316.78867,7001,45.194512
-90023.379721,4564,49.934247
-64008.168824,2768,52.862248
-119724.296722,1785,54.754537
-61302.480796,2449,57.303683
-33552.190603,3838,61.280766
-315595.275865,7001,68.966745
-99658.825142,3769,72.958624
-70762.569008,3535,76.669985
-176951.917906,7001,84.025565
-24997.865996,2590,86.814131
-67612.99872,3388,90.281752
-34131.766537,2657,92.959996
-22624.909682,2843,95.793014
-18447.062666,3031,98.838785
-11911.662629,2034,100.863042
-44339.081322,4748,105.50682
-51476.173758,3484,109.159106
-10555.953387,1073,110.222367
-66997.351118,4229,114.385328
-89913.953438,3906,118.416923
-49954.957104,3718,122.134003
-153146.023658,7001,129.46789
-74379.999711,4771,134.513238
-43394.178706,3951,138.784778
-31796.90143,3777,142.758134
-136968.106555,7001,150.232389
-77053.055821,3110,153.669967
-25961.821077,2303,156.167504
-52089.390619,2986,159.430533
-104068.280719,6186,166.161336
-26772.496151,2045,168.408258
-45385.081826,2129,170.749187
-76276.882736,2804,173.690849
-15632.148001,936,174.728206
-27953.30684,2529,177.408088
-18707.464057,2291,179.795513
-36360.601806,2680,182.640535
-46552.247195,2160,184.984242
-59742.403946,1412,186.508844
-71031.622824,1322,187.917876
-83126.75659,1085,189.042722
-20486.895539,2366,191.559581
-18903.516907,1141,192.735624
-35000.414837,2481,195.373866
-41772.728118,1289,196.739959
-7768.579716,1888,198.743767
-165982.797054,3472,202.519774
-29208.12561,915,203.475614
-81342.952295,1135,204.707086
-28609.712641,1822,206.616217
-55013.212521,1466,208.195262
-15292.797974,1051,209.342712
-699.158103,182,209.521324
-77540.533522,3417,213.281293
-86035.494139,2331,215.811354
-49475.471392,4020,220.237368
-74224.197133,2437,222.901994
-113109.071611,7001,230.524688
-32869.833861,1885,232.700341
-56539.805317,3029,236.288244
-17236.010656,1804,238.301986
-105737.595117,7001,246.136676
-60068.269382,2729,249.320936
-91878.835124,3453,253.151093
-187284.999303,4705,258.381263
-35724.60238,3215,262.039766
-55322.819897,2664,265.047187
-105729.189808,6472,272.141091
-46768.406005,4349,276.876346
-62398.837451,3454,280.678904
-47750.05159,3520,284.499978
-24306.131904,2194,286.933791
-140932.401523,5828,293.196813
-65962.812301,2899,296.438006
-26363.703143,2151,298.832423
-98297.749838,4881,304.251631
-12252.366094,2859,307.397886
-172948.162538,7001,315.129013
-3676.364592,1015,316.280989
-11825.287355,1977,318.448769
-77826.93693,4509,323.392117
-20683.07895,1934,325.5546
-152162.899324,7001,333.297707
-66468.695315,3785,337.4867
-113478.928825,6662,344.828537
-41721.409637,4227,349.484056
-2536.763749,513,350.069699
-104128.887944,4637,355.110303
-91694.652561,7001,362.805902
-38487.03889,3176,366.343833
-149480.986009,7001,374.296103
-11749.550719,2471,377.074543
-8218.539831,1755,379.051759
-197386.715804,7001,386.923944
-117597.62519,7001,394.835357
-69391.469858,7001,402.688844
-23065.44997,3422,406.618863
-68106.369523,7001,414.435495
-8970.191693,1700,416.383986
-21929.342101,2900,419.701518
-2804.514415,900,420.787816
-71088.493186,7001,428.91663
-87433.338814,7001,437.145138
-70830.511857,7001,445.271238
-64788.720682,7001,453.440726
-112979.260917,7001,461.58586
-102898.208317,5089,467.49588
-155478.310492,7001,475.689606
-59002.404728,7001,483.828355
-388.342348,271,484.174775
-5089.936729,1016,485.350281
-93862.929012,7001,493.538094
-5236.699409,824,494.521212
-83530.095196,7001,502.676284
-17552.668794,2867,506.039575
-4941.268449,1052,507.271672
-4364.119426,1097,508.516132
-116580.727304,7001,516.581953
-18767.788161,1972,518.978236
-236.410171,135,519.172241
-100811.968329,4692,524.607493
-2706.772239,1460,526.332895
-51692.447358,4140,531.139791
-168575.411568,7001,539.353035
-35000.758043,2614,542.412203
-32316.697808,2889,545.755775
-83444.500021,3019,549.246077
-37445.247679,3849,553.769525
-126986.436298,6394,561.324744
-96849.204543,3346,565.363704
-30154.899429,3242,569.253618
-26645.934681,1338,570.917948
-15034.62686,1709,572.95195
-60509.792737,2483,575.988786
-58165.960009,2025,578.423085
-38228.405649,1633,580.355343
-34517.09411,1772,582.49323
-122021.608786,3389,586.564299
-73584.577595,7001,594.970359
-12929.95332,1376,596.655992
-5266.853878,1810,598.812344
-2046.233803,417,599.365822
-23971.138811,4666,605.089204
-1575.998029,414,605.62032
-62457.89938,4607,611.375647
-33287.621708,3547,615.780562
-36316.114048,3387,619.989075
-92574.347189,5597,627.038076
-34143.160569,2670,630.418738
-36150.000951,2532,633.576423
-38771.025775,3106,637.408083
-6420.169667,1587,639.423117
-1184.769754,331,639.81883
-58204.147204,3575,644.254964
-4320.942549,615,645.068967
-169106.257684,7001,653.834759
-89164.078893,7001,662.574625
-217244.425994,7001,671.298013
-90706.480831,7001,680.005903
-15364.770701,2220,682.678952
-90307.635267,4385,687.926384
-3424.218385,787,688.909348
-201697.555284,7001,697.269448
-218843.775913,7001,705.739399
-126224.993647,7001,714.303671
-62256.316377,2100,716.957811
-123290.550321,7001,725.619731
-236361.999969,5894,733.023771
-253414.233065,7001,741.656002
-113183.363775,7001,750.460221
-205114.695429,7001,759.467429
-58064.255496,4788,765.628796
-1271.993152,148,765.838347
-31100.511037,3802,770.779433
-287153.939174,7001,779.771587
-97795.511362,7001,788.825886
-133509.434048,7001,797.844714
