,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,0,0,0,0,0,0,0,0,0,2
2,3,3,3,0,0,0,0,0,0,0,0,2
3,3,3,3,0,0,0,0,0,0,0,0,2
4,3,3,3,0,0,0,0,0,0,0,0,2
5,0,3,3,0,0,0,0,0,2,0,0,2
6,0,3,3,0,0,0,0,0,2,2,1,1
7,3,3,3,0,0,0,0,0,2,2,1,1
8,3,3,3,0,0,0,0,0,0,2,3,1
9,3,3,3,0,0,0,0,0,0,2,1,3
10,3,3,3,0,0,0,0,0,0,2,1,3
11,3,3,3,0,0,0,0,0,0,2,1,3
12,3,3,3,0,0,0,0,0,0,2,1,3
13,3,3,3,0,0,0,0,0,0,2,1,3
14,3,3,3,0,0,0,0,0,0,2,1,3
15,3,3,3,0,0,0,0,0,0,1,1,3
16,3,3,3,0,0,0,0,0,0,1,1,3
17,3,3,3,0,0,0,0,0,0,1,1,3
18,3,3,3,0,0,0,0,0,0,1,1,3
19,3,3,3,0,0,0,0,0,0,1,1,3
20,3,3,3,0,0,0,0,0,0,1,1,3
21,3,3,3,0,0,0,0,0,0,1,1,3
22,3,3,3,0,0,0,0,0,0,2,1,3
23,3,3,3,0,0,0,0,0,0,2,1,3
24,3,3,3,0,0,0,0,0,0,2,1,3
25,3,3,3,0,0,0,0,0,0,2,1,3
26,3,3,3,0,0,0,0,0,0,2,1,3
27,3,3,3,0,0,0,0,0,0,2,1,3
28,3,3,3,0,0,0,0,0,0,2,1,3
29,3,3,3,0,0,0,0,0,0,2,1,3
30,3,3,3,0,0,0,0,0,0,2,1,3
31,3,3,3,0,0,0,0,0,0,2,1,3
32,3,3,3,0,0,0,0,0,0,2,1,3
33,3,3,3,0,0,0,0,0,0,2,1,3
34,3,3,3,0,0,0,0,0,0,2,1,3
35,3,3,3,0,0,0,0,0,0,2,1,3
36,3,3,3,0,0,0,0,0,0,2,1,3
37,3,3,3,0,0,0,0,0,0,2,1,3
38,3,3,3,0,0,0,0,0,0,2,1,3
39,3,3,3,0,0,0,0,0,0,2,1,3
40,3,3,3,0,0,0,0,0,0,2,1,3
41,3,3,3,0,0,0,0,0,0,2,1,3
42,3,3,3,0,0,0,0,0,0,2,0,3
43,3,3,3,0,0,0,0,0,0,2,0,3
44,3,3,3,0,0,0,0,0,0,2,0,3
45,3,3,3,0,0,0,0,0,0,2,0,3
46,3,3,3,0,0,0,0,0,0,2,0,3
47,3,3,3,0,0,0,0,0,0,2,0,3
48,3,3,3,0,0,0,0,0,0,2,0,3
49,3,3,3,0,0,0,0,0,0,2,0,3
