,0,1,2,3,4,5,6,7,8,9,10,11
0,0,3,3,0,0,0,0,0,0,0,0,0
1,0,3,3,0,0,0,0,0,0,0,1,1
2,3,3,3,0,3,0,0,0,0,0,1,1
3,3,3,3,0,3,0,0,0,0,0,1,1
4,3,3,3,0,2,0,0,0,0,0,1,1
5,3,3,3,0,2,0,0,0,0,0,1,1
6,3,3,3,0,2,0,0,0,0,0,1,1
7,3,3,3,0,2,0,0,0,0,2,1,1
8,3,3,3,0,2,0,0,0,0,2,1,1
9,3,3,3,0,0,0,0,0,0,2,1,1
10,3,3,3,0,0,0,0,0,0,2,1,1
11,3,3,3,0,0,0,0,0,0,2,1,1
12,3,3,3,0,0,0,2,0,0,2,1,1
13,3,3,3,0,0,0,2,0,0,2,2,1
14,3,3,3,0,0,0,2,0,0,2,2,1
15,3,3,3,0,0,0,2,0,0,2,2,1
16,3,3,3,0,0,0,2,0,0,2,2,1
17,3,3,3,0,0,0,2,0,0,2,2,1
18,3,3,3,0,0,0,2,0,0,2,2,1
19,3,3,3,0,0,0,2,0,0,2,2,1
20,3,3,3,0,0,0,2,0,0,2,2,1
21,3,3,3,0,0,0,2,0,0,2,2,1
22,3,3,3,0,0,0,2,0,0,2,2,1
23,3,3,3,0,0,0,2,0,0,2,2,1
24,3,3,3,0,0,0,2,0,0,2,2,1
25,3,3,3,0,0,0,2,0,0,2,2,1
26,3,3,3,0,0,0,2,0,0,2,2,1
27,3,3,3,0,0,0,2,0,0,2,2,1
28,3,3,3,0,0,0,2,0,0,2,2,1
29,3,3,3,0,0,0,2,0,0,2,2,1
30,3,3,3,0,0,0,2,0,0,2,0,1
31,3,3,3,0,0,0,2,0,0,2,0,1
32,3,3,3,0,0,0,2,0,0,2,0,1
33,3,3,3,0,0,0,2,0,0,2,0,1
34,3,3,3,0,0,0,2,0,0,2,0,1
35,3,3,3,0,0,0,2,0,0,2,0,1
36,3,3,3,0,0,0,2,0,0,2,0,1
37,3,3,3,0,0,0,2,0,0,2,0,1
38,3,3,3,0,0,0,2,0,0,2,0,1
39,3,3,3,0,0,0,2,0,0,2,0,3
40,3,3,3,0,0,0,2,0,0,2,0,3
41,3,3,3,0,0,0,2,0,0,2,0,3
42,3,3,3,0,0,0,2,0,0,2,0,3
43,3,3,3,0,0,0,2,0,0,2,0,3
44,3,3,3,0,0,0,2,0,0,2,0,3
45,3,3,3,0,0,0,2,0,0,2,0,3
46,3,3,3,0,0,0,2,0,0,2,0,3
47,3,3,3,0,0,0,2,0,0,2,0,3
48,3,3,3,0,0,0,2,0,0,2,0,3
49,3,3,3,0,0,0,0,0,0,2,0,3
