#{"t_start": 1591282375.853861, "env_id": null}
r,l,t
-19512.607209,1001,1.851108
-17636.017442,1001,2.945368
-24241.683931,1001,4.074611
-17061.878206,1001,5.213475
-25244.889617,1001,6.345026
-33905.632408,1001,7.456992
-19584.316624,1001,8.57767
-9220.16436,1001,9.656484
-16412.837801,1001,10.808768
-10810.289405,1001,11.91535
-11840.432967,1001,12.970147
-34628.669525,1001,13.999644
-16387.630416,1001,15.058131
-21696.001543,1001,16.120879
-5802.443646,1001,17.194572
-9010.612731,1001,18.246626
-12933.632886,1001,19.259285
-7914.570095,1001,20.314455
-9364.879403,1001,21.382286
-12818.370221,1001,22.455557
-11897.244282,1001,23.529108
-12541.886305,1001,24.603875
-11773.182924,1001,25.645879
-12209.593868,1001,26.709432
-9460.670494,1001,27.802149
-8009.763058,1001,28.867776
-8936.458438,1001,29.922956
-12153.465203,1001,31.015491
-8747.681073,1001,32.049262
-2426.345764,608,32.719411
-11074.996869,1001,33.80116
-21818.943754,1001,34.87159
-9230.248257,1001,35.922508
-8726.981921,1001,36.992267
-6843.967512,1001,38.070655
-5314.752365,811,38.93881
-10251.843846,1001,40.035218
-12710.537012,1001,41.172253
-7168.60552,1001,42.251655
-4254.039879,692,42.966947
-8667.36215,1001,44.042538
-6107.388084,861,45.01121
-9071.588243,1001,46.093175
-6779.834656,1001,47.162682
-7645.138113,1001,48.185807
-8499.302323,1001,49.247265
-8281.371936,1001,50.314606
-18463.528446,1001,51.396065
-7289.311374,1001,52.487444
-1469.415375,421,52.938945
-5284.738548,670,53.675069
-5956.911263,686,54.443834
-19302.538466,1001,55.512194
-2743.47621,566,56.170475
-991.107795,309,56.476172
-6816.286878,1001,57.509463
-10039.558095,1001,58.547602
-14248.764408,1001,59.576858
-21038.586327,1001,60.592222
-690.83043,232,60.842947
-19669.809295,1001,61.869553
-12283.139696,1001,62.907756
-1949.488899,190,63.077587
-12216.89125,1001,64.116095
0.99,1,64.123483
-12047.013703,1001,65.204726
-1357.461135,192,65.420302
-9923.283615,1001,66.440966
-7069.741407,1001,67.480054
-8203.615079,1001,68.504022
-9561.413438,1001,69.554448
-808.642509,357,69.911949
-14787.672475,1001,70.935696
-11255.415524,1001,71.979022
-1808.703654,262,72.255436
-7255.30158,1001,73.29135
-1321.999575,251,73.570331
-11588.725515,975,74.624624
-6130.193364,378,74.992658
-12069.873033,1001,76.036008
-19248.676506,1001,77.152402
-4290.029056,723,77.944823
-8399.55121,1001,79.013995
-3618.838329,597,79.631292
-7384.872986,1001,80.711971
-1032.555494,380,81.141466
-509.429199,177,81.347759
-11298.686589,1001,82.442884
-14270.670081,1001,83.542164
-10686.236666,1001,84.685105
-1101.653344,303,85.032721
-6789.768764,1001,86.163512
-11651.745693,1001,87.338372
-1286.479782,213,87.60121
-7762.070066,1001,88.761762
-8016.670148,1001,89.893409
-13541.168386,1001,91.105872
-6842.734995,1001,92.273936
-13309.863135,1001,93.458478
-15463.59853,1001,94.632518
-515.548911,167,94.805197
-4579.806436,825,95.752098
-10274.501319,1001,96.913762
0.99,1,96.923085
-15115.642289,1001,98.128295
-7188.683188,1001,99.304571
-6852.955392,1001,100.558236
-9012.821681,1001,101.72508
-6587.509266,1001,102.838772
-8927.100262,1001,104.043101
-8170.221721,1001,105.219778
-9596.628125,1001,106.391561
-16586.174033,1001,107.56249
-9024.360275,1001,108.699847
-993.611317,384,109.20388
-11374.801253,1001,110.356366
-34397.913187,1001,111.554154
-35120.909725,1001,112.727977
-8775.730426,1001,113.915501
-9553.87304,1001,115.085801
-31587.635442,1001,116.230593
-10549.849719,1001,117.394377
-18371.750776,1001,118.552667
-14264.12515,1001,119.716041
-25840.891022,1001,120.889581
-18659.408074,1001,122.033968
-10475.348303,1001,123.207454
-14958.901673,1001,124.378844
-8186.55826,1001,125.510559
-8349.182476,1001,126.694865
-15847.673691,1001,127.821412
-16646.227903,1001,128.914
-9504.953465,1001,130.057982
-7284.741018,1001,131.195723
-13289.772006,1001,132.336255
-25156.5903,1001,133.471126
-8540.244548,1001,134.585463
-11609.032533,1001,135.731186
-25213.707524,1001,136.867474
-19260.371402,1001,137.995069
-3912.439892,786,138.870268
-6739.04189,1001,140.005211
-25126.005377,1001,141.136385
-7925.881434,1001,142.270847
-7205.25969,1001,143.373183
-20464.275359,1001,144.510114
-7030.247142,1001,145.686608
-12710.456877,1001,146.816186
-34248.571883,1001,147.947592
-10378.74275,1001,149.118596
-12501.755242,1001,150.200291
-22959.640912,1001,151.361471
-12069.334313,1001,152.495499
-14986.210306,1001,153.633525
-8469.497453,1001,154.756098
-16887.632067,1001,155.843785
-24801.037156,1001,156.963651
-34054.641349,1001,158.140633
-25970.407602,1001,159.274046
-18247.622173,1001,160.415148
-8010.37398,1001,161.510231
-17878.217138,1001,162.62814
-19211.557634,1001,163.796166
-23506.637645,1001,164.934665
-947.895146,276,165.2429
-17032.888289,1001,166.382029
-38913.72311,1001,167.511004
-5702.027719,1001,168.634392
-206.651118,117,168.744071
-11735.417265,1001,169.871803
-21592.122332,1001,171.058237
-6332.479388,1001,172.19812
-46521.857368,1001,173.320652
-31665.525452,1001,174.463671
-29641.998799,1001,175.577953
-1477.254263,180,175.80772
-8977.888939,1001,176.940151
-2925.473491,640,177.640908
-9417.667423,1001,178.761377
-7946.614048,1001,179.891344
-35857.528871,1001,181.017378
-33746.852592,1001,182.149496
-28976.901107,1001,183.282872
-13986.742671,1001,184.424239
-5671.813276,1001,185.548945
-9919.204436,1001,186.757291
-17703.346431,1001,187.945363
-13163.977617,1001,189.123082
-14640.870376,1001,190.295348
-13949.74613,1001,191.409204
-19342.208687,1001,192.569769
-8628.443963,1001,193.772356
-29455.525806,1001,194.936222
-8121.383939,1001,196.150851
-25289.989176,1001,197.287351
-6817.222174,1001,198.397946
-9232.568139,1001,199.550858
-13801.656345,1001,200.721287
-35480.069163,1001,201.887807
-8250.03513,1001,203.061358
-43022.565449,1001,204.202859
-30715.73661,1001,205.378215
-19690.406772,1001,206.524162
-10836.335034,1001,207.731573
-10091.06647,1001,208.898451
-11305.352766,1001,210.076409
-44273.19043,1001,211.195312
-48123.305458,1001,212.361737
-884.84463,308,212.764498
-19666.66931,1001,213.89003
-27191.233368,1001,215.065056
-28094.440726,1001,216.23176
-40021.837525,1001,217.447596
-72315.731903,1001,218.602923
-24885.093067,1001,219.738486
-37403.349943,770,220.628833
-10502.656969,1001,221.739544
-29035.414414,1001,222.936683
-21703.292025,1001,224.105837
-3202.059158,411,224.613548
-43080.715738,1001,225.844744
-23962.52576,1001,227.046166
-7494.556253,1001,228.237614
-25854.422451,1001,229.435208
