#{"t_start": 1591196038.852184, "env_id": null}
r,l,t
-21422.796897,2505,556.443744
-18182.331491,1533,558.281454
-58572.419578,2437,561.10725
-29229.289069,1929,563.361087
-55632.697857,2810,566.66026
-13091.828223,1702,568.636739
-10113.016962,1085,569.936002
-89529.651585,2926,573.321736
-21579.440451,1411,574.95266
-37823.993935,1825,577.10501
-17.023396,137,577.286559
-20802.11958,1706,579.218093
-746.61037,988,580.376319
1.0,1,580.382493
-15502.870242,1940,582.597405
-19258.362592,1534,584.429931
-13307.667142,1357,586.026667
-669.55173,122,586.165888
-955.370481,389,586.611236
-4498.313363,668,587.369165
-4498.954651,657,588.135362
-3061.944285,734,589.001222
-1722.300897,1072,590.214748
-2262.002365,637,590.98038
-5912.117319,689,591.774708
-1947.434401,657,592.608589
1.0,1,592.614353
-3019.887249,709,593.427896
-1311.594443,575,594.145808
-6797.470613,674,594.93368
-5506.351275,2044,597.358043
-115.489005,44,597.410759
-2322.244175,730,598.28296
-1481.976984,1509,600.092862
-40107.570877,4959,606.023811
-171.168935,55,606.124274
-9439.398359,1924,608.515975
-3105.46848,1599,610.439263
-1321.243445,1327,612.037452
-2223.93177,975,613.200781
-9579.014273,1209,614.670628
-1224.760631,865,615.706859
-5419.426704,1532,617.512558
-4135.059684,869,618.575764
-1258.945491,643,619.351661
-17512.172442,1829,621.593473
-2805.881585,715,622.433383
-44508.818363,4268,627.569402
-412892.181635,22830,654.873582
-3455740.441271,102051,778.00276
-76436.922213,6032,785.802859
-16158.352822,3758,790.345713
-98955.915927,15038,808.920038
-2801.671893,1688,811.10123
-24499.828272,5922,818.627006
-9243.678772,4450,824.286445
-16240.432765,7666,834.098854
-19314.004098,1778,836.409722
-76082.826953,11333,850.729659
-20301.594063,4016,855.713561
-13485.797421,3799,860.407203
-10734.593919,3235,864.391743
-21617.155665,15172,883.205083
-14021.139081,8091,893.181529
-43722.174848,4266,898.4542
-10520.129451,2009,900.96669
-24976.543863,4539,906.56286
-23967.296876,1673,908.656478
-41488.542943,1777,910.850473
-62600.855632,2521,913.959736
-29385.821122,2308,916.796014
-1413.770289,1774,919.056327
-13103.342391,7459,928.22861
-5737.823215,5998,935.688306
-8688.878393,4297,940.995024
-14626.844256,2954,944.678559
-10154.286221,4163,949.771662
-22470.744886,1947,952.17122
-203677.580196,19876,977.017473
-365725.615959,14676,995.767451
-23955.08843,8622,1006.799666
-7789.732806,1423,1008.652993
-28813.53311,3885,1013.612874
-611.768978,257,1013.960133
-27090.16753,4806,1020.08267
-159.306622,130,1020.259699
-7522.892996,2557,1023.53341
-18148.167944,5353,1030.33891
-6409.013788,2946,1034.087027
-14394.1274,2171,1036.8594
-10857.735266,2298,1039.805986
-10730.584403,2230,1042.663619
-28868.539026,1894,1045.065148
-6848.272872,2096,1047.760006
-18429.043066,3048,1051.665216
-3502.049492,1452,1053.494749
-8705.534865,933,1054.689876
-10400.002733,1639,1056.80665
-8144.804896,1551,1058.779936
-8610.935794,1510,1060.701545
-3015.650769,1277,1062.32818
-5691.570412,640,1063.165879
-4462.165074,1226,1064.732014
-294.626793,79,1064.81189
-11151.357491,928,1065.986279
-3047.143718,1479,1067.866314
-3633.471902,479,1068.481497
-3371.176827,2003,1071.111287
-1957.078614,1599,1073.165027
-4044.680643,899,1074.295333
-34070.134166,2243,1077.149259
-4751.303596,1471,1079.058738
-14798.503833,2510,1082.261727
-11490.215115,2082,1084.921434
-20709.645942,1503,1086.848492
-8635.789154,2718,1090.367389
-149071.478355,10130,1103.222979
-83841.065014,7891,1113.36881
-61532.022533,9492,1125.47709
-17158.967855,1899,1127.927695
-133590.711072,11281,1142.323744
-154671.495975,8940,1153.729107
-5521.165274,2408,1156.810052
-137.82564,45,1156.907077
-58247.937781,5223,1163.579629
-8970.040055,2322,1166.543744
-8019.743624,1803,1168.837438
-6381.0041,3392,1173.145941
-650.178269,879,1174.271177
-265986.429466,21467,1201.609711
-3184.893265,1451,1203.575139
-7911.601652,1769,1205.828502
-595.445118,365,1206.321426
-3341.508667,1184,1207.797494
-3000.427979,2206,1210.630909
-718.153799,148,1210.874752
-2990.720513,1084,1212.219424
-186.666641,680,1213.082435
-557.727433,146,1213.264281
-1394.285475,1045,1214.625207
-768.922531,1928,1217.050623
-423.078805,274,1217.409768
-3193.362973,605,1218.257613
-350.347196,450,1218.831221
-10666.946992,1735,1221.043092
-604.076171,126,1221.203572
-7441.208889,1321,1222.855779
-1616.870818,523,1223.517199
-3065.004853,1182,1225.022499
-190.007565,223,1225.321412
-1421.671534,172,1225.521992
-3190.439297,849,1226.626504
-7960.833421,1026,1227.985508
-38.980309,151,1228.198386
-5044.164679,940,1229.434078
-4672.7731,2500,1232.731205
-85.588176,34,1232.795877
-4765.95243,899,1233.993029
-15513.619932,1089,1235.463203
-2762.515151,837,1236.581144
-1889.218968,1143,1238.095304
-732.495939,582,1238.89734
-1578.267036,1560,1240.954677
-239.37931,349,1241.499152
-82.972561,250,1241.830245
-836.858866,673,1242.746704
-2064.656213,362,1243.247702
-2776.934753,482,1243.904212
-3230.922773,320,1244.304465
